,changed,created,dnssec,expires,isMalicious,url
70,2014-12-14 00:00:00,20120713 #10168763,,2015-07-13 00:00:00,0,compraimportados.com.br
71,2015-02-20 00:00:00,20120229 #9561512,,2016-03-01 00:00:00,0,dafitidev.com.br
72,2014-03-04 13:50:34,,False,,0,stuttgartfestival.de
73,2015-03-25 00:00:00,2013-04-24 00:00:00,,2016-04-24 00:00:00,0,beardbrand.co.uk
74,2015.06.16 10:16:09,2011.12.07 11:21:33,False,2016.12.07 11:21:33,0,hellozdrowie.pl
75,,,,,0,modena.co.id
76,2015-06-15 00:00:00,2002-06-14 00:00:00,False,2016-06-14 00:00:00,0,drugs-forum.com
77,2014-12-28 00:00:00,2011-12-27 00:00:00,False,2015-12-27 00:00:00,0,carlaaston.com
78,2014-11-06 00:00:00,2012-12-05 00:00:00,False,2015-12-05 00:00:00,0,gsmaintelligence.com
79,,2011.11.02,,2015-11-02 00:00:00,0,techliter.ru
80,,2014.07.01,,2016-07-01 00:00:00,0,pm4u.ru
81,2014-03-18 00:00:00,2011-04-13 00:00:00,,2024-04-13 00:00:00,0,buzzbee.co.kr
82,2015-04-18 00:00:00,2004-05-19 00:00:00,False,2017-05-19 00:00:00,0,chasebenefits.com
83,2014-11-21 00:00:00,2009-02-19 00:00:00,False,2016-02-19 00:00:00,0,jvc-media.com
84,2011-09-28 10:14:11,1996-10-21 21:00:00,False,2016-10-20 21:00:00,0,mfri.org
85,2014-08-20 00:44:16,2006-11-03 00:00:00,,2015-08-04 00:00:00,0,mediajobs.it
86,2014-01-21 00:00:00,1993-02-12 00:00:00,False,2019-02-13 00:00:00,0,asdi.com
87,False,False,,False,0,heavytools.hu
88,2014-08-25 00:00:00,2006-09-24 00:00:00,,2016-09-24 00:00:00,0,vikrampatel.co.uk
89,,,,2016-09-12 00:00:00,0,tlushim.co.il
90,,,,,0,seas.es
91,2014-07-08 00:00:00,,,2016-05-15 00:00:00,0,maes.ir
92,2014-04-17 00:00:00,2006-06-16 00:00:00,False,2017-06-16 00:00:00,0,surffanatics.com
93,False,False,,False,0,coldwellbanker.com.tr
94,2015-01-28 15:59:23,2003-12-02 19:11:26,Unsigned,2019-12-03 00:00:00,0,dsportmag.com
95,2015-07-02 12:45:28,2008-03-26 10:49:40,False,2016-03-26 00:00:00,0,differentfashion.cz
96,2014-05-21 00:00:00,2010-06-20 00:00:00,False,2017-06-20 00:00:00,0,almanegra-sexy.com
97,2014-09-11 00:00:00,2010-09-23 00:00:00,False,2015-09-23 00:00:00,0,prachatalk.com
98,2015-01-05 00:00:00,,,2016-02-15 00:00:00,0,adsgood.ir
99,2014-08-01 00:00:00,1996-11-12 00:00:00,,2016-11-12 00:00:00,0,toolbox.co.uk
100,2015-07-09 06:34:04,,False,,0,oetinger.de
101,,,,,0,ttconnect.gov.tt
102,2010-07-13 00:00:00,: 2001-09-21T18:07:31Z,False,2019-09-21 00:00:00,0,infinitemassage.com
103,2014-10-25 11:02:11,2014-07-20 15:25:04,False,2015-07-20 15:25:04,0,kinogo.me
104,2014-12-18 00:00:00,2010-01-06 00:00:00,False,2016-01-06 00:00:00,0,uptownalmanac.com
105,2015-06-08 00:00:00,2015-06-08 00:00:00,False,2016-06-08 00:00:00,0,sjvhry.com
106,2015-06-05 00:00:00,2010-06-04 00:00:00,False,2016-06-04 00:00:00,0,mangoagency.com
107,2015-02-05 00:00:00,2010-02-25 00:00:00,False,2016-02-25 00:00:00,0,ntjxj.com
108,2014-03-07 00:00:00,2012-04-04 00:00:00,False,2016-04-04 00:00:00,0,timelessluxwatches.com
109,2015-04-01 00:00:00,2013-04-08 00:00:00,False,2016-04-08 00:00:00,0,fortuna-slots.com
110,2014.08.27 08:28:20,2009.08.26 12:34:47,False,2015.08.26 12:34:47,0,firmowewydruki.pl
111,,,,,0,blogxvideo.tk
112,2014-01-05 00:00:00,2004-09-21 00:00:00,False,2022-09-21 00:00:00,0,codecogs.com
113,,,False,,0,roundup-tuin.nl
114,2015-06-28 18:22:43,2013-06-27 23:53:48,True,2016-06-27 23:53:48,0,vridar.org
115,2014-07-31 00:00:00,2008-08-26 00:00:00,False,2015-08-26 00:00:00,0,mbp-kobe.com
116,2014-08-09 00:00:00,2004-08-08 00:00:00,False,2015-08-08 00:00:00,0,camelclips.com
117,2014.09.22 13:19:50,2007.10.01 09:46:42,False,2015.10.01 09:46:42,0,kapelanczyk.pl
118,,2013.03.04,,2016-03-04 00:00:00,0,windowsplayer.ru
119,,,,,0,tss-co.ir
120,2015-07-06 00:00:00,2011-08-01 00:00:00,False,2017-08-01 00:00:00,0,siterobot.com
121,2015-04-28 00:00:00,2006-04-24 00:00:00,False,2016-04-24 00:00:00,0,b2bage.com
122,2015-04-17 00:00:00,2012-04-18 00:00:00,False,2016-04-18 00:00:00,0,phpbbex.com
123,2015-01-28 16:11:44,2005-11-06 22:44:53,Unsigned,2015-12-17 00:00:00,0,principledtechnologies.com
124,2015-05-26 00:00:00,2000-06-17 00:00:00,False,2016-06-17 00:00:00,0,faisalkhan.com
125,2011-12-05 00:00:00,2008-02-01 00:00:00,False,2016-02-01 00:00:00,0,qedinvestors.com
126,False,False,,False,0,zeropaper.com.br
127,2012-12-13 00:00:00,2001-04-16 00:00:00,,2022-04-16 00:00:00,0,aldergrovecu.ca
128,2015-05-14 13:01:53,2011-01-15 07:01:31,False,2018-01-15 07:01:31,0,alfanous.org
129,2015-05-01 02:34:07,2007-05-30 13:54:53,False,2016-05-30 13:54:53,0,apriezt-mkrdezign.blogspot.in
130,2015-06-18 08:45:34,2003-03-31 09:27:18,unsigned,2016-03-31 00:00:00,0,turcopolier.typepad.com
131,2015.01.28 17:04:25,2010.02.12 11:15:40,False,2016.02.12 11:15:40,0,czatruletka.pl
132,2015-06-30 09:05:12,2010-06-30 00:00:00,False,2016-06-30 00:00:00,0,nishinoke.jp
133,2013-05-20 00:00:00,1995-02-01 00:00:00,False,2020-02-02 00:00:00,0,http.com
134,2013-10-28 00:00:00,1999-04-15 00:00:00,False,2018-04-15 00:00:00,0,thomasshaw9688.livejournal.com
135,2011-07-22 00:00:00,2000-08-29 00:00:00,False,,0,cetsi.fr
136,2015-05-06 00:00:00,2015-05-06 00:00:00,False,2016-05-06 00:00:00,0,ilikeyouhorny.com
137,2013-05-28 00:00:00,2000-03-09 00:00:00,False,2016-03-09 00:00:00,0,foremostgolf.com
138,2015-06-06 00:00:00,2002-11-04 00:00:00,False,2017-11-04 00:00:00,0,cjdby.com
139,2010-12-15 16:28:15,2010-07-04 03:34:26,,,0,lhv.ee
140,2014-07-29 10:18:23,,False,,0,sv-zoefelt.de
141,2015-02-03 00:00:00,2008-04-02 00:00:00,False,2018-04-02 00:00:00,0,medicosypacientes.com
142,2012-12-11 02:05:13,,False,,0,jamesbond.de
143,2015-05-24 00:00:00,2013-07-13 00:00:00,False,2015-07-13 00:00:00,0,eldantesshop.com
144,2015-04-21 00:00:00,2010-01-25 00:00:00,False,2016-01-25 00:00:00,0,branduniq.com
145,2015-05-11 00:00:00,2010-12-29 00:00:00,False,2017-12-29 00:00:00,0,tvrohd.com
146,2015-01-28 16:05:10,2004-10-29 14:32:34,Unsigned,2019-10-29 00:00:00,0,k12academics.com
147,2013-08-15 00:00:00,2002-09-12 00:00:00,False,2018-09-12 00:00:00,0,theroomplace.com
148,2014-07-27 18:44:57,2013-07-26 01:38:12,False,2015-07-26 01:38:12,0,xeford.info
