,changed,created,dnssec,expires,url
770757,2015-06-16 07:33:11,,False,,bestprotection.de
779886,2015-04-30 00:00:00,2008-05-05 00:00:00,,2016-05-04 00:00:00,sivegam.org.mx
417419,False,False,,False,apln-blog.fr
957989,2014-09-11 00:00:00,2009-09-07 00:00:00,False,2015-09-07 00:00:00,namecheapcouponcode.com
521788,2014.08.05 10:36:46,2010.08.24 08:22:23,False,2015.08.24 08:22:23,electrogsm.pl
84676,False,False,,False,bvbrindesmkt.com.br
811200,,,False,,pugetsoundoff.org
15247,2014-09-16 00:00:00,2014-01-17 00:00:00,,2024-01-17 00:00:00,serplab.co.uk
633174,2015-06-25 00:00:00,2009-08-23 00:00:00,False,2016-08-23 00:00:00,painted-ladies.com
845235,2012-04-10 00:00:00,2006-09-21 00:00:00,False,2015-09-21 00:00:00,import-sales.com
608437,False,False,,False,protel.com.tr
69884,2012-06-20 00:00:00,2003-05-07 00:00:00,False,2015-10-02 00:00:00,mailanyone.net
199597,False,False,,False,chevroletnova.com.br
879474,2008-06-14 00:00:00,1998-06-05 00:00:00,False,2016-06-04 00:00:00,cookpolitical.com
218719,2015-02-20 10:51:04,2014-09-09 02:08:41,False,2015-09-09 02:08:41,arbitragebet.in
280643,,,False,,esmt.org
420864,2013-03-12 00:00:00,1995-12-07 00:00:00,False,,panasonic.fr
718466,,,False,,visiontranstechindia.org
623288,2014-12-27 00:00:00,: 2001-12-28T05:20:09Z,False,2015-12-28 00:00:00,kodomonokao.com
99635,2015-06-11 00:00:00,2008-08-04 00:00:00,False,2018-08-04 00:00:00,kovshenin.com
278898,2015-04-12 13:50:07,2015-02-10 22:04:26,False,2020-02-10 22:04:26,hidoctor.me
886946,2015-01-28 15:44:55,1996-10-10 21:00:00,Unsigned,2017-10-10 00:00:00,capitolsales.com
629894,2015-03-03 00:00:00,2013-10-08 00:00:00,False,2015-10-08 00:00:00,magazine8.com
901889,,,,,sumberalam.co.id
566997,2010-03-05 04:56:46,2000-12-20 11:41:00,True,2015-12-21 00:00:00,stopka.cz
601891,2014-09-01 00:00:00,2012-09-28 00:00:00,False,2015-09-28 00:00:00,estalos.com
651782,,,False,,kazamatsuri.org
184136,2014-11-25 00:00:00,2006-04-30 00:00:00,False,2016-04-30 00:00:00,libcast.com
294619,2015-04-06 00:00:00,2010-06-10 00:00:00,False,2022-06-10 00:00:00,sex-ukraine.net
899721,2015-03-03 23:11:06,2012-03-05 20:11:42,False,2016-03-05 16:00:00,pajeroclub.pro
454646,2015-04-15 00:00:00,1997-12-17 00:00:00,False,2019-12-16 00:00:00,rib.net
687532,2015-01-12 00:00:00,2009-01-11 00:00:00,False,2016-01-11 00:00:00,udreplicas.com
648529,False,False,,False,toprural.pt
319448,2015-04-30 00:00:00,2012-08-14 00:00:00,False,2015-08-14 00:00:00,jzxxmx.com
