,changed,created,dnssec,expires,url
368652,2015-05-11 00:00:00,2007-01-10 00:00:00,False,2017-01-10 00:00:00,discountonlineparts.com
288222,2014-02-05 17:07:00,,,,recalls.gov.au
674775,,,False,,mesana.org
137049,2015-03-06 00:00:00,2011-04-15 00:00:00,False,2016-04-15 00:00:00,digitalbooktoday.com
53176,2014-09-11 00:00:00,2014-09-07 00:00:00,False,2015-09-07 00:00:00,8bob.com
418135,2014-08-20 00:00:00,2013-08-19 00:00:00,False,2015-08-19 00:00:00,themarklee.com
586035,2015-05-18 00:00:00,2015-05-13 00:00:00,,2016-05-13 00:00:00,mysurprise.ca
503888,2015-04-21 00:00:00,1997-11-27 00:00:00,False,2015-11-26 00:00:00,acomba.com
613584,,,False,,jb-aptech.com.cn
950075,2015-02-12 00:00:00,2014-02-23 00:00:00,False,2016-02-23 00:00:00,archipelagofiles.com
724300,2015-07-03 12:10:54,2011-12-06 10:24:46,False,2015-12-06 10:24:46,blackshemale.xxx
940290,,2014-07-30 07:26:04,False,2016-07-30 00:00:00,affilo.cz
214035,False,False,,False,binotel.ua
240026,2014-11-10 06:54:16,2008-11-20 13:54:29,Unsigned Delegation ,2015-11-20 00:00:00,gyandarpan.com
308640,2015-03-05 00:00:00,2010-01-13 00:00:00,False,2018-01-13 00:00:00,respomondo.com
247442,,,False,,finpost.org
829832,2011-01-22 00:00:00,2005-05-12 00:00:00,False,2020-02-02 00:00:00,rooms101.com
132065,2013-12-16 20:03:16,2010-09-18 22:55:31,unsigned,2016-09-19 00:00:00,asearch.herokuapp.com
415722,2015-04-23 01:55:36,2015-04-01 04:28:15,,2016-03-31 16:59:59,investmir.biz
666756,2015-04-18 00:00:00,2014-12-03 00:00:00,False,2015-12-03 00:00:00,makescreenshots.com
64029,2015-04-21 14:08:26,2006-03-07 11:41:35,False,2016-03-07 11:41:35,diccionari.cat
62909,2014-03-30 22:26:49,2008-01-28 05:52:37,False,2024-01-28 00:00:00,fucolle.com
307531,,,,,gf.to
869888,,2015.04.03,,2016-04-03 00:00:00,bankrotstvo-fiz-lits.ru
469853,2014-11-12 00:00:00,2010-10-12 00:00:00,False,2015-10-12 00:00:00,metrojambi.com
2080,,2006.01.13,,2016-01-13 00:00:00,mirtesen.ru
627142,2015-06-29 01:09:21,2012-07-03 14:13:27,False,2018-07-03 00:00:00,autostyle-usa.com
435644,2011-05-20 20:00:27,,False,,bodyip.de
381927,,,False,,worldbridge.org
15332,2014-09-07 00:00:00,1998-10-09 00:00:00,False,2015-10-08 00:00:00,maville.com
942452,2015-01-28 16:51:45,2009-09-18 04:50:41,Unsigned,2015-11-24 00:00:00,nowclinic.com
167058,2015-06-27 00:00:00,2014-07-28 00:00:00,False,2016-07-28 00:00:00,fbskip.com
317802,2014-11-20 03:42:33,2013-06-16 21:55:45,False,2016-06-16 21:55:45,freevpn.me
926241,2015-04-16 00:00:00,2007-02-10 00:00:00,False,2016-02-10 00:00:00,joyoge.com
501246,2015-04-20 00:00:00,1999-06-03 00:00:00,True,2016-06-03 00:00:00,schenker.se
741404,,,False,,leiserag.ch
496764,2013-11-01 00:00:00,2005-11-10 00:00:00,,2015-11-10 00:00:00,hedgesdirect.co.uk
394218,2015-03-20 06:22:30,2015-03-12 06:07:50,False,2016-03-12 00:00:00,moroneta.com
845459,2015-06-05 00:00:00,2010-06-28 00:00:00,False,2020-06-28 00:00:00,duzhoumo.com
312002,,,False,,latinamericanstudies.org
824600,2015-05-05 00:00:00,2012-06-21 00:00:00,False,2016-06-21 00:00:00,camisasmasculinas.com
333863,False,False,,False,gudecor.com.br
713653,,2011.12.28,,2015-12-28 00:00:00,dlyapolnyx.ru
690201,2015-04-04 00:00:00,2014-03-17 00:00:00,False,2016-03-17 00:00:00,whoneedsmaps.com
958259,2015-02-20 00:00:00,2009-02-26 00:00:00,False,2016-02-26 00:00:00,the-three-p.com
380347,2013-01-24 00:00:00,2007-07-23 00:00:00,False,2015-07-23 00:00:00,etwservice.com
960170,,,,,buderus.es
982479,2015-01-26 00:00:00,2006-06-08 00:00:00,False,2023-06-08 00:00:00,sexmoanscum.tumblr.com
447148,2015-04-29 00:00:00,2015-04-29 00:00:00,False,2016-04-29 00:00:00,pertaminapfgte.com
245539,2015-06-29 00:00:00,2000-07-31 00:00:00,False,2016-07-31 00:00:00,mushroomali.blogspot.com
360535,2015-04-28 00:00:00,2010-09-06 00:00:00,False,2015-09-06 00:00:00,redreseller.com
259896,2015-01-09 00:00:00,2006-02-07 00:00:00,False,2016-02-07 00:00:00,ultranoir.com
108738,2013-07-06 00:00:00,2000-11-13 00:00:00,,2015-12-01 00:00:00,itbusiness.ca
114359,2015-02-16 14:07:27,2015-01-16 04:49:14,True,2020-01-16 04:49:14,92newshd.tv
933830,,,,,holoprint.ae
131198,2015-05-14 00:47:49,2009-02-09 11:24:25,,2016-04-28 00:00:00,ripassofacile.blogspot.it
511059,False,False,,False,indirimkodu.web.tr
536683,,2012.10.31,,2015-10-31 00:00:00,sex-piski.ru
703325,,,False,,infrastructurereportcard.org
538013,False,False,,False,sense.io
929896,,,False,,xn--soirentreprise-jn39b.fr
473212,,2010.12.17,,2015-12-17 00:00:00,peugeot508-club.ru
44114,2015-02-24 00:00:00,1996-11-18 00:00:00,False,,pimkie.fr
658857,2015-06-30 00:00:00,2004-11-23 00:00:00,False,2018-11-23 00:00:00,indianshooting.com
719936,,2007.01.23,,2016-01-23 00:00:00,uh-zabava.ru
284622,False,False,,False,mezhbank.org.ua
325274,2014-02-19 00:00:00,2008-02-26 00:00:00,,2016-02-26 00:00:00,tanyaburr.co.uk
913861,2015-04-10 00:00:00,2005-05-12 00:00:00,False,2017-05-12 00:00:00,email-warnerbros.com
786000,,,,,dguadalajara.es
938141,2015-04-27 08:26:49,2011-05-13 03:35:35,False,2016-05-13 03:35:35,dym.asia
901309,2015-04-02 00:00:00,2015-03-24 00:00:00,False,2016-03-24 00:00:00,lmdraketfy.com
563846,2013-04-10 00:00:00,19960424 #7137,,2023-04-24 00:00:00,aprendiz.uol.com.br
940133,2006-11-22 15:25:00,1997-12-20 01:00:00,False,2015-10-21 00:00:00,ucw.cz
288887,2015-04-28 00:00:00,2012-02-16 00:00:00,False,2016-02-16 00:00:00,chattingcat.com
298613,2015-06-30 09:05:12,2005-06-17 00:00:00,False,2016-06-30 00:00:00,nissan-stadium.jp
567364,2014-01-03 00:00:00,2002-08-02 00:00:00,False,2017-08-02 00:00:00,naturalawakeningsmag.com
987735,2014-09-30 09:05:16,2011-09-07 00:00:00,False,2015-09-30 00:00:00,tokyugroup.jp
637524,2014-12-20 00:00:00,2011-12-21 00:00:00,False,2015-12-21 00:00:00,parikmaherov.net
496387,2014-11-06 00:00:00,20111107 #9087351,,2021-11-07 00:00:00,lchdesigner.com.br
101438,,,,,mobileshop.com.eg
875614,2015-02-15 18:07:50,2002-03-19 21:12:39,False,2016-03-19 22:12:39,ma-sa.info
546615,2014-12-21 00:00:00,2006-07-20 00:00:00,False,2016-07-20 00:00:00,fm-teens.com
78202,2014-11-27 01:58:20,2004-07-23 00:00:00,False,2015-07-31 00:00:00,ra9.jp
855705,2015-05-09 00:00:00,2013-05-09 00:00:00,False,2016-05-09 00:00:00,amaderbrahmanbaria.com
811253,2015-05-14 00:00:00,2013-12-01 00:00:00,False,2016-12-01 00:00:00,steveturton.com
